Failure : 538, Danger : 12, Collison : 129, Success : 31, Average Reward : -18531.16352452706, Number of steps : 1419
Failure : 748, Danger : 26, Collison : 286, Success : 48, Average Reward : -26478.624173447774, Number of steps : 2213
Failure : 641, Danger : 23, Collison : 190, Success : 29, Average Reward : -22141.4910288139, Number of steps : 1722
Failure : 195, Danger : 3, Collison : 26, Success : 3, Average Reward : -11661.39732142857, Number of steps : 440
Failure : 305, Danger : 7, Collison : 61, Success : 16, Average Reward : -16019.380219639894, Number of steps : 762
Failure : 213, Danger : 6, Collison : 48, Success : 12, Average Reward : -17634.463115831535, Number of steps : 597
Failure : 302, Danger : 14, Collison : 177, Success : 45, Average Reward : -33820.3386874729, Number of steps : 1154
Failure : 293, Danger : 9, Collison : 150, Success : 31, Average Reward : -31689.126653826836, Number of steps : 1031
Failure : 778, Danger : 26, Collison : 242, Success : 39, Average Reward : -22903.634555741206, Number of steps : 2508
Failure : 359, Danger : 16, Collison : 149, Success : 46, Average Reward : -26943.710253337907, Number of steps : 1373
Failure : 575, Danger : 7, Collison : 68, Success : 14, Average Reward : -10408.995026116236, Number of steps : 1562
Failure : 313, Danger : 1, Collison : 49, Success : 27, Average Reward : -12653.103286694355, Number of steps : 992
Failure : 363, Danger : 4, Collison : 133, Success : 29, Average Reward : -25385.205370175907, Number of steps : 1369
Failure : 532, Danger : 15, Collison : 105, Success : 36, Average Reward : -15660.305048518238, Number of steps : 1839
Failure : 282, Danger : 8, Collison : 107, Success : 48, Average Reward : -24539.90572058596, Number of steps : 1359
Failure : 552, Danger : 5, Collison : 76, Success : 26, Average Reward : -11683.19846520101, Number of steps : 1868
Failure : 227, Danger : 1, Collison : 86, Success : 28, Average Reward : -25274.721691512837, Number of steps : 1029
Failure : 201, Danger : 1, Collison : 23, Success : 4, Average Reward : -10155.298245614034, Number of steps : 717
Failure : 158, Danger : 3, Collison : 16, Success : 5, Average Reward : -9008.066075303635, Number of steps : 591
Failure : 348, Danger : 3, Collison : 98, Success : 53, Average Reward : -19695.43388625586, Number of steps : 1504
Failure : 175, Danger : 3, Collison : 45, Success : 22, Average Reward : -18654.22133143418, Number of steps : 762
Failure : 606, Danger : 12, Collison : 118, Success : 62, Average Reward : -15077.877500052602, Number of steps : 2717
Failure : 757, Danger : 17, Collison : 143, Success : 37, Average Reward : -15313.295419211081, Number of steps : 1914
Failure : 374, Danger : 6, Collison : 36, Success : 10, Average Reward : -8626.488095238095, Number of steps : 821
Failure : 349, Danger : 11, Collison : 156, Success : 34, Average Reward : -28986.086657696662, Number of steps : 1100
Failure : 174, Danger : 1, Collison : 16, Success : 1, Average Reward : -8435.115183246073, Number of steps : 409
Failure : 104, Danger : 1, Collison : 35, Success : 9, Average Reward : -23696.440816758517, Number of steps : 324
Failure : 356, Danger : 18, Collison : 197, Success : 34, Average Reward : -33602.70172830263, Number of steps : 1221
Failure : 197, Danger : 13, Collison : 94, Success : 12, Average Reward : -31069.31683168317, Number of steps : 669
Failure : 223, Danger : 1, Collison : 30, Success : 5, Average Reward : -11682.092108953431, Number of steps : 516
Failure : 391, Danger : 9, Collison : 49, Success : 9, Average Reward : -10968.288735810209, Number of steps : 915
Failure : 331, Danger : 14, Collison : 123, Success : 29, Average Reward : -25514.444878324743, Number of steps : 1113
Failure : 518, Danger : 5, Collison : 60, Success : 17, Average Reward : -10139.370031154518, Number of steps : 1240
Failure : 787, Danger : 25, Collison : 200, Success : 55, Average Reward : -19245.816363336373, Number of steps : 2387
Failure : 225, Danger : 9, Collison : 83, Success : 24, Average Reward : -25048.08456599492, Number of steps : 766
Failure : 752, Danger : 16, Collison : 231, Success : 56, Average Reward : -22284.99119286893, Number of steps : 2559
Failure : 514, Danger : 5, Collison : 52, Success : 11, Average Reward : -9074.953233686621, Number of steps : 1536
Failure : 583, Danger : 20, Collison : 216, Success : 60, Average Reward : -25199.217436479106, Number of steps : 2418
Failure : 124, Danger : 6, Collison : 50, Success : 7, Average Reward : -27681.971384978086, Number of steps : 559
Failure : 148, Danger : 5, Collison : 59, Success : 17, Average Reward : -26394.816212075435, Number of steps : 688
Failure : 431, Danger : 5, Collison : 149, Success : 57, Average Reward : -23445.642461866635, Number of steps : 1888
